Entry	Reviewed	Gene Names	Proteomes	Gene Ontology (cellular component)
Q13794	reviewed	PMAIP1 NOXA	UP000005640: Chromosome 18	Bcl-2 family protein complex [GO:0097136]; cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q13795	reviewed	ARFRP1 ARP1	UP000005640: Chromosome 20	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]
Q13796	reviewed	SHROOM2 APXL	UP000005640: Chromosome X	adherens junction [GO:0005912]; apical junction complex [GO:0043296]; apical plasma membrane [GO:0016324]; bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular exosome [GO:0070062]; microtubule [GO:0005874]; plasma membrane [GO:0005886]
Q13797	reviewed	ITGA9	UP000005640: Chromosome 3	basal plasma membrane [GO:0009925]; external side of plasma membrane [GO:0009897]; integrin alpha9-beta1 complex [GO:0034679]; integrin complex [GO:0008305]; plasma membrane [GO:0005886]
Q13813	reviewed	SPTAN1 NEAS SPTA2	UP000005640: Chromosome 9	cell junction [GO:0030054]; cell projection [GO:0042995]; cortical actin cytoskeleton [GO:0030864]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular vesicle [GO:1903561]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]; specific granule lumen [GO:0035580]; spectrin [GO:0008091]; tertiary granule lumen [GO:1904724]
Q13822	reviewed	ENPP2 ATX PDNP2	UP000005640: Chromosome 8	extracellular space [GO:0005615]; plasma membrane [GO:0005886]
Q13823	reviewed	GNL2 NGP1	UP000005640: Chromosome 1	membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]
Q13825	reviewed	AUH	UP000005640: Chromosome 9	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q13829	reviewed	TNFAIP1 BACURD2 EDP1	UP000005640: Chromosome 17	Cul3-RING ubiquitin ligase complex [GO:0031463]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; nucleus [GO:0005634]
Q13835	reviewed	PKP1	UP000005640: Chromosome 1	adherens junction [GO:0005912]; cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; desmosome [GO:0030057]; ficolin-1-rich granule membrane [GO:0101003]; intermediate filament [GO:0005882]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q13838	reviewed	DDX39B BAT1 UAP56	UP000005640: Chromosome 6	cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; transcription export complex [GO:0000346]; U4 snRNP [GO:0005687]; U6 snRNP [GO:0005688]
Q13867	reviewed	BLMH	UP000005640: Chromosome 17	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]
Q13868	reviewed	EXOSC2 RRP4	UP000005640: Chromosome 9	cytoplasm [GO:0005737]; cytoplasmic exosome (RNase complex) [GO:0000177]; cytosol [GO:0005829]; exosome (RNase complex) [GO:0000178]; nuclear exosome (RNase complex) [GO:0000176]; nucleolar exosome (RNase complex) [GO:0101019]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q13873	reviewed	BMPR2 PPH1	UP000005640: Chromosome 2	adherens junction [GO:0005912]; apical plasma membrane [GO:0016324]; axon [GO:0030424]; basal plasma membrane [GO:0009925]; caveola [GO:0005901]; cell surface [GO:0009986]; clathrin-coated pit [GO:0005905]; dendrite [GO:0030425]; extracellular space [GO:0005615]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; receptor complex [GO:0043235]
Q13875	reviewed	MOBP	UP000005640: Chromosome 3	mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]
Q13882	reviewed	PTK6 BRK	UP000005640: Chromosome 20	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ruffle [GO:0001726]
Q13884	reviewed	SNTB1 SNT2B1	UP000005640: Chromosome 8	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; dystrophin-associated glycoprotein complex [GO:0016010]; focal adhesion [GO:0005925]; protein-containing complex [GO:0032991]; sarcolemma [GO:0042383]; synapse [GO:0045202]
Q13885	reviewed	TUBB2A TUBB2	UP000005640: Chromosome 6	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular vesicle [GO:1903561]; intercellular bridge [GO:0045171]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]
Q13886	reviewed	KLF9 BTEB BTEB1	UP000005640: Chromosome 9	chromatin [GO:0000785]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q13887	reviewed	KLF5 BTEB2 CKLF IKLF	UP000005640: Chromosome 13	chromatin [GO:0000785]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; transcription regulator complex [GO:0005667]
Q13888	reviewed	GTF2H2 BTF2P44	UP000005640: Chromosome 5	core TFIIH complex portion of holo TFIIH complex [GO:0000438]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor TFIID complex [GO:0005669]; transcription factor TFIIH core complex [GO:0000439]; transcription factor TFIIH holo complex [GO:0005675]
Q13889	reviewed	GTF2H3	UP000005640: Chromosome 12	core TFIIH complex portion of holo TFIIH complex [GO:0000438]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor TFIID complex [GO:0005669]; transcription factor TFIIH core complex [GO:0000439]; transcription factor TFIIH holo complex [GO:0005675]; transcription preinitiation complex [GO:0097550]
Q13895	reviewed	BYSL ENP1	UP000005640: Chromosome 6	apical part of cell [GO:0045177]; chromosome [GO:0005694]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; preribosome, small subunit precursor [GO:0030688]
Q13901	reviewed	C1D	UP000005640: Chromosome 2	cytoplasm [GO:0005737]; exosome (RNase complex) [GO:0000178]; nuclear exosome (RNase complex) [GO:0000176]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription repressor complex [GO:0017053]
Q13905	reviewed	RAPGEF1 GRF2	UP000005640: Chromosome 9	cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]
Q13907	reviewed	IDI1	UP000005640: Chromosome 10	cytoplasm [GO:0005737]; cytosol [GO:0005829]; peroxisome [GO:0005777]
Q13936	reviewed	CACNA1C CACH2 CACN2 CACNL1A1 CCHL1A1	UP000005640: Chromosome 12	cytoplasm [GO:0005737]; dendrite [GO:0030425]; L-type voltage-gated calcium channel complex [GO:1990454]; membrane [GO:0016020]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic density membrane [GO:0098839]; voltage-gated calcium channel complex [GO:0005891]; Z disc [GO:0030018]
Q13938	reviewed	CAPS	UP000005640: Chromosome 19	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; vesicle [GO:0031982]
Q13946	reviewed	PDE7A	UP000005640: Chromosome 8	cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
Q13948	reviewed	CUX1 CUTL1	UP000005640: Chromosome 7	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]
Q13950	reviewed	RUNX2 AML3 CBFA1 OSF2 PEBP2A	UP000005640: Chromosome 6	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]
Q13951	reviewed	CBFB	UP000005640: Chromosome 16	core-binding factor complex [GO:0016513]; membrane [GO:0016020]; nucleoplasm [GO:0005654]
Q13952	reviewed	NFYC	UP000005640: Chromosome 1	CCAAT-binding factor complex [GO:0016602]; chromatin [GO:0000785]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-DNA complex [GO:0032993]; RNA polymerase II transcription regulator complex [GO:0090575]
Q13956	reviewed	PDE6H	UP000005640: Chromosome 12	photoreceptor outer segment membrane [GO:0042622]
Q13972	reviewed	RASGRF1 CDC25 GNRP GRF1	UP000005640: Chromosome 15	cytosol [GO:0005829]; growth cone [GO:0030426]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]
Q13976	reviewed	PRKG1 PRKG1B PRKGR1A PRKGR1B	UP000005640: Chromosome 10	acrosomal vesicle [GO:0001669]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]
Q14002	reviewed	CEACAM7 CGM2	UP000005640: Chromosome 19	apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytosol [GO:0005829]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; side of membrane [GO:0098552]
Q14003	reviewed	KCNC3	UP000005640: Chromosome 19	axon terminus [GO:0043679]; cell cortex [GO:0005938]; cytoskeleton [GO:0005856]; dendrite [GO:0030425]; dendrite membrane [GO:0032590]; dendritic spine membrane [GO:0032591]; neuronal cell body membrane [GO:0032809]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]; voltage-gated potassium channel complex [GO:0008076]
Q14004	reviewed	CDK13 CDC2L CDC2L5 CHED KIAA1791	UP000005640: Chromosome 7	cyclin K-CDK13 complex [GO:0002945]; cyclin/CDK positive transcription elongation factor complex [GO:0008024]; cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; Golgi apparatus [GO:0005794]; nuclear cyclin-dependent protein kinase holoenzyme complex [GO:0019908]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q14005	reviewed	IL16	UP000005640: Chromosome 15	cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Flemming body [GO:0090543]; focal adhesion [GO:0005925]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886]
Q14008	reviewed	CKAP5 KIAA0097	UP000005640: Chromosome 11	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; spindle pole [GO:0000922]
Q14011	reviewed	CIRBP A18HNRNP CIRP	UP000005640: Chromosome 19	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]
Q14012	reviewed	CAMK1	UP000005640: Chromosome 3	cytosol [GO:0005829]; nucleus [GO:0005634]
Q14019	reviewed	COTL1 CLP	UP000005640: Chromosome 16	cortical actin cytoskeleton [GO:0030864]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nucleus [GO:0005634]; secretory granule lumen [GO:0034774]; site of polarized growth [GO:0030427]
Q14028	reviewed	CNGB1 CNCG2 CNCG3L CNCG4 RCNC2	UP000005640: Chromosome 16	ciliary membrane [GO:0060170]; Golgi-associated vesicle membrane [GO:0030660]; intracellular cyclic nucleotide activated cation channel complex [GO:0017071]; non-motile cilium membrane [GO:0098804]; photoreceptor outer segment [GO:0001750]; plasma membrane [GO:0005886]; rod photoreceptor outer segment [GO:0120200]; terminal bouton [GO:0043195]; transmembrane transporter complex [GO:1902495]
Q14031	reviewed	COL4A6	UP000005640: Chromosome X	basement membrane [GO:0005604]; collagen type IV trimer [GO:0005587]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q14032	reviewed	BAAT	UP000005640: Chromosome 9	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]
Q14050	reviewed	COL9A3	UP000005640: Chromosome 20	collagen type IX trimer [GO:0005594]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q14055	reviewed	COL9A2	UP000005640: Chromosome 1	collagen type IX trimer [GO:0005594]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q14061	reviewed	COX17	UP000005640: Chromosome 3	cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]
Q14088	reviewed	RAB33A RABS10	UP000005640: Chromosome X	endosome [GO:0005768]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; plasma membrane [GO:0005886]
Q14103	reviewed	HNRNPD AUF1 HNRPD	UP000005640: Chromosome 4	chromatin [GO:0000785]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; mCRD-mediated mRNA stability complex [GO:0106002]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; ribonucleoprotein complex [GO:1990904]
Q14106	reviewed	TOB2 KIAA1663 TOB4 TROB2	UP000005640: Chromosome 22	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q14108	reviewed	SCARB2 CD36L2 LIMP2 LIMPII	UP000005640: Chromosome 4	clathrin-coated endocytic vesicle membrane [GO:0030669]; cytoplasm [GO:0005737]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; Golgi membrane [GO:0000139]; late endosome membrane [GO:0031902]; lysosomal lumen [GO:0043202]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q14112	reviewed	NID2	UP000005640: Chromosome 14	basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]
Q14114	reviewed	LRP8 APOER2	UP000005640: Chromosome 1	axon [GO:0030424]; caveola [GO:0005901]; cell surface [GO:0009986]; dendrite [GO:0030425]; extracellular space [GO:0005615]; membrane [GO:0016020]; microtubule associated complex [GO:0005875]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; synapse [GO:0045202]
Q14116	reviewed	IL18 IGIF IL1F4	UP000005640: Chromosome 11	cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q14117	reviewed	DPYS	UP000005640: Chromosome 8	cytosol [GO:0005829]; extracellular exosome [GO:0070062]
Q14118	reviewed	DAG1	UP000005640: Chromosome 3	adherens junction [GO:0005912]; basement membrane [GO:0005604]; basolateral plasma membrane [GO:0016323]; collagen-containing extracellular matrix [GO:0062023]; contractile ring [GO:0070938]; costamere [GO:0043034]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dystroglycan complex [GO:0016011]; dystrophin-associated glycoprotein complex [GO:0016010]; endoplasmic reticulum lumen [GO:0005788]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi lumen [GO:0005796]; intracellular membrane-bounded organelle [GO:0043231]; lamellipodium [GO:0030027]; membrane [GO:0016020]; node of Ranvier [GO:0033268]; nuclear periphery [GO:0034399]; nucleoplasm [GO:0005654]; photoreceptor ribbon synapse [GO:0098684]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; postsynaptic cytosol [GO:0099524]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]
Q14119	reviewed	VEZF1 DB1 ZNF161	UP000005640: Chromosome 17	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q14123	reviewed	PDE1C	UP000005640: Chromosome 7	cytosol [GO:0005829]; lysosome [GO:0005764]; neuronal cell body [GO:0043025]
Q14126	reviewed	DSG2 CDHF5	UP000005640: Chromosome 18	apical plasma membrane [GO:0016324]; cell junction [GO:0030054]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; cornified envelope [GO:0001533]; desmosome [GO:0030057]; extracellular exosome [GO:0070062]; intercalated disc [GO:0014704]; intracellular membrane-bounded organelle [GO:0043231]; lateral plasma membrane [GO:0016328]; plasma membrane [GO:0005886]
Q14129	reviewed	DGCR6	UP000005640: Chromosome 22	extracellular matrix [GO:0031012]; nucleus [GO:0005634]
Q14134	reviewed	TRIM29 ATDC	UP000005640: Chromosome 11	adherens junction [GO:0005912]; lysosome [GO:0005764]
Q14135	reviewed	VGLL4 KIAA0121	UP000005640: Chromosome 3	nucleus [GO:0005634]
Q14137	reviewed	BOP1 KIAA0124	UP000005640: Chromosome 8	chromosome [GO:0005694]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; PeBoW complex [GO:0070545]; preribosome, large subunit precursor [GO:0030687]; ribonucleoprotein complex [GO:1990904]
Q14139	reviewed	UBE4A KIAA0126	UP000005640: Chromosome 11	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]
Q14140	reviewed	SERTAD2 KIAA0127 TRIPBR2	UP000005640: Chromosome 2	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q14141	reviewed	SEPTIN6 KIAA0128 SEP2 SEPT6	UP000005640: Chromosome X	axon terminus [GO:0043679]; cell division site [GO:0032153]; cleavage furrow [GO:0032154]; kinetochore [GO:0000776]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; septin collar [GO:0032173]; septin complex [GO:0031105]; septin ring [GO:0005940]; sperm annulus [GO:0097227]; spindle [GO:0005819]; synaptic vesicle [GO:0008021]
Q14142	reviewed	TRIM14 KIAA0129	UP000005640: Chromosome 9	cytoplasm [GO:0005737]; mitochondrial outer membrane [GO:0005741]; nucleus [GO:0005634]; phagocytic vesicle [GO:0045335]
Q14145	reviewed	KEAP1 INRF2 KIAA0132 KLHL19	UP000005640: Chromosome 19	actin filament [GO:0005884]; centriolar satellite [GO:0034451]; Cul3-RING ubiquitin ligase complex [GO:0031463]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; inclusion body [GO:0016234]; midbody [GO:0030496]; nucleoplasm [GO:0005654]
Q14147	reviewed	DHX34 DDX34 KIAA0134	UP000005640: Chromosome 19	membrane [GO:0016020]
Q14149	reviewed	MORC3 KIAA0136 NXP2 ZCWCC3	UP000005640: Chromosome 21	chromatin [GO:0000785]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]
Q14151	reviewed	SAFB2 KIAA0138	UP000005640: Chromosome 19	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q14152	reviewed	EIF3A EIF3S10 KIAA0139	UP000005640: Chromosome 10	cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; eukaryotic translation initiation factor 3 complex, eIF3e [GO:0071540]; eukaryotic translation initiation factor 3 complex, eIF3m [GO:0071541]; membrane [GO:0016020]; microtubule [GO:0005874]; multi-eIF complex [GO:0043614]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; postsynaptic density [GO:0014069]
Q14153	reviewed	FAM53B KIAA0140 SMP	UP000005640: Chromosome 10	nucleus [GO:0005634]
Q14154	reviewed	DELE1 DELE KIAA0141	UP000005640: Chromosome 5	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
Q14155	reviewed	ARHGEF7 COOL1 KIAA0142 P85SPR PAK3BP PIXB Nbla10314	UP000005640: Chromosome 13	cell cortex [GO:0005938]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; mitotic spindle pole [GO:0097431]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; postsynapse [GO:0098794]; protein-containing complex [GO:0032991]; ruffle [GO:0001726]
Q14156	reviewed	EFR3A KIAA0143	UP000005640: Chromosome 8	cytosol [GO:0005829]; plasma membrane [GO:0005886]
Q14157	reviewed	UBAP2L KIAA0144 NICE4	UP000005640: Chromosome 1	chromosome [GO:0005694]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]; PcG protein complex [GO:0031519]
Q14159	reviewed	SPIDR KIAA0146	UP000005640: Chromosome 8	nuclear chromosome [GO:0000228]; nucleoplasm [GO:0005654]
Q14160	reviewed	SCRIB CRIB1 KIAA0147 LAP4 SCRB1 VARTUL	UP000005640: Chromosome 8	adherens junction [GO:0005912]; basolateral plasma membrane [GO:0016323]; cell junction [GO:0030054]; cell-cell contact zone [GO:0044291]; cell-cell junction [GO:0005911]; extracellular exosome [GO:0070062]; extrinsic component of postsynaptic density membrane [GO:0099147]; glutamatergic synapse [GO:0098978]; immunological synapse [GO:0001772]; lamellipodium [GO:0030027]; myelin sheath abaxonal region [GO:0035748]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; presynapse [GO:0098793]; Scrib-APC-beta-catenin complex [GO:0034750]
Q14161	reviewed	GIT2 KIAA0148	UP000005640: Chromosome 12	focal adhesion [GO:0005925]; nucleoplasm [GO:0005654]; presynapse [GO:0098793]; synapse [GO:0045202]
Q14162	reviewed	SCARF1 KIAA0149 SREC	UP000005640: Chromosome 17	endocytic vesicle membrane [GO:0030666]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q14164	reviewed	IKBKE IKKE IKKI KIAA0151	UP000005640: Chromosome 1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial membrane [GO:0031966]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; serine/threonine protein kinase complex [GO:1902554]
Q14165	reviewed	MLEC KIAA0152	UP000005640: Chromosome 12	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; oligosaccharyltransferase complex [GO:0008250]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]
Q14166	reviewed	TTLL12 KIAA0153	UP000005640: Chromosome 22	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; midbody [GO:0030496]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; spindle [GO:0005819]
Q14168	reviewed	MPP2 DLG2	UP000005640: Chromosome 17	cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; dendrite membrane [GO:0032590]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]
Q14181	reviewed	POLA2	UP000005640: Chromosome 11	alpha DNA polymerase:primase complex [GO:0005658]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]
Q14183	reviewed	DOC2A	UP000005640: Chromosome 16	cell junction [GO:0030054]; extrinsic component of synaptic vesicle membrane [GO:0098850]; glutamatergic synapse [GO:0098978]; lysosome [GO:0005764]; neuron projection [GO:0043005]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; synapse [GO:0045202]
Q14184	reviewed	DOC2B DOC2BL	UP000005640: Chromosome 17	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; synapse [GO:0045202]
Q14185	reviewed	DOCK1	UP000005640: Chromosome 10	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; guanyl-nucleotide exchange factor complex [GO:0032045]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]
Q14186	reviewed	TFDP1 DP1	UP000005640: Chromosome 13	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Rb-E2F complex [GO:0035189]; RNA polymerase II transcription regulator complex [GO:0090575]
Q14188	reviewed	TFDP2 DP2	UP000005640: Chromosome 3	chromatin [GO:0000785]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
Q14190	reviewed	SIM2 BHLHE15	UP000005640: Chromosome 21	chromatin [GO:0000785]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]
Q14191	reviewed	WRN RECQ3 RECQL2	UP000005640: Chromosome 8	centrosome [GO:0005813]; chromosome [GO:0005694]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork [GO:0005657]
Q14192	reviewed	FHL2 DRAL SLIM3	UP000005640: Chromosome 2	focal adhesion [GO:0005925]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Z disc [GO:0030018]
Q14194	reviewed	CRMP1 DPYSL1 ULIP3	UP000005640: Chromosome 4	centrosome [GO:0005813]; cytosol [GO:0005829]; growth cone [GO:0030426]; midbody [GO:0030496]; perikaryon [GO:0043204]; spindle [GO:0005819]
Q14195	reviewed	DPYSL3 CRMP4 DRP3 ULIP ULIP1	UP000005640: Chromosome 5	cell body [GO:0044297]; cytosol [GO:0005829]; exocytic vesicle [GO:0070382]; extracellular space [GO:0005615]; filamentous actin [GO:0031941]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; synapse [GO:0045202]
Q14197	reviewed	MRPL58 DS1 ICT1	UP000005640: Chromosome 17	mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
Q14202	reviewed	ZMYM3 DXS6673E KIAA0385 ZNF261	UP000005640: Chromosome X	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
